id;placed_date;status;code
1;2020-10-07T22:59:52;COMPLETED;Georgia calculate withdrawal
2;2020-10-07T09:56:22;COMPLETED;compress Steel out-of-the-box
3;2020-10-07T11:27:34;PENDING;Concrete
4;2020-10-08T00:53:29;CANCELLED;Investment Account
5;2020-10-07T12:10:19;PENDING;United States of America
6;2020-10-08T02:22:23;CANCELLED;IB Industrial Credit Card Account
7;2020-10-08T05:28:48;CANCELLED;Cotton Egyptian Pound
8;2020-10-07T14:24:52;COMPLETED;Home Loan Account
9;2020-10-07T23:19:08;COMPLETED;Human
10;2020-10-07T09:27:46;CANCELLED;payment
